epoch,acc,loss,val_acc,val_loss
0,0.23488421955403088,3.4897438085304118,0.36239495798319327,2.6925742410812057
1,0.5369854202401372,1.889627328970011,0.6271008403361344,1.5284184057171606
2,0.6715265866209262,1.3615950244777608,0.726890756302521,1.28846026218238
3,0.7285591766723842,1.1387199648044122,0.6901260504201681,1.3434322015578006
4,0.7757289879931389,0.998572073915197,0.6906512605042017,1.4298641671653556
5,0.81528730703259,0.8866656362294741,0.7631302521008403,1.1381636990719484
6,0.8283662092624356,0.8157251257430219,0.7426470588235294,1.132609634840188
7,0.8413379073756432,0.772007622962137,0.7935924369747899,1.204495906078515
8,0.8536663807890223,0.7306269795264838,0.7410714285714286,1.2112195509321548
9,0.8648156089193825,0.683771601927628,0.7584033613445378,1.2334346440659851
10,0.8730703259005146,0.6452013618643452,0.7773109243697479,1.1230602149202042
11,0.8853987993138936,0.6188143365992486,0.782563025210084,1.1186100577606874
12,0.8922598627787307,0.5905433604893103,0.7631302521008403,1.2450165838754477
13,0.8949399656946827,0.5803964420207369,0.7536764705882353,1.2938938894692589
14,0.9030874785591767,0.5457559008132123,0.7043067226890757,1.415286709280575
15,0.9034090909090909,0.546013031110142,0.7804621848739496,1.263549620864772
16,0.9058747855917667,0.5324180084783872,0.7668067226890757,1.2688442423564046
17,0.9061963979416809,0.5307736548101514,0.7584033613445378,1.3497411100303425
18,0.9094125214408233,0.5185934056241966,0.756827731092437,1.237132312119508
19,0.9114493996569468,0.5103184563933678,0.7584033613445378,1.2948436413993354
20,0.9173456260720412,0.48426791238334943,0.726890756302521,1.4640247471192305
21,0.9146655231560892,0.4917520254492555,0.7605042016806722,1.229211835550661
22,0.9178816466552315,0.4821006460418832,0.7788865546218487,1.3115054917435687
23,0.9272084048027445,0.4276122729426592,0.7956932773109243,1.1366660993139284
24,0.9356775300171527,0.3892854807920767,0.7935924369747899,1.1383570385079425
25,0.9370711835334476,0.37490317532169676,0.7983193277310925,1.1004053744949212
26,0.9395368782161235,0.36738329744972864,0.803046218487395,1.0787101956475682
27,0.9386792452830188,0.36330593552434015,0.8014705882352942,1.069602171413037
28,0.9394296740994854,0.36296446984362235,0.8035714285714286,1.0589914978051387
29,0.9381432246998285,0.36056606407639913,0.8130252100840336,1.0359168260538278
