epoch,acc,loss,val_acc,val_loss
0,0.229631217838765,3.5905025119335736,0.36764705882352944,2.7097446392564213
1,0.48359777015437394,2.1069337260457295,0.6302521008403361,1.6757225599609504
2,0.6285377358490566,1.5123962299901461,0.6465336134453782,1.50382288614241
3,0.7114065180102916,1.2269129246013242,0.7668067226890757,1.1302779667517717
4,0.7646869639794168,1.0574815824346722,0.7001050420168067,1.304255066298637
5,0.7938464837049742,0.9508519294842643,0.7620798319327731,1.1699233310563224
6,0.8171097770154374,0.8602235881071761,0.7521008403361344,1.2522400795411663
7,0.8413379073756432,0.7818794306207889,0.7515756302521008,1.1994646271737683
8,0.8490566037735849,0.741825793302693,0.7494747899159664,1.1693924512682843
9,0.861385077186964,0.7043007500277989,0.7930672268907563,1.131347658754397
